 ECG_BT_a_0_6_hrv.tex
 Series length:          362
 Lag:                      3
      	   Corr.  	 Corr.mod 	 Corr.Gaus	    D     
 ------------------------------------------------------------------
      	-0.1748088	 0.1875827	 0.0268368	 0.0258393
 ==================================================================
                        SURROGATED SIGNALS                         	 D<Dgauss 	  Counts  
 ==================================================================	==========	==========
     1	-0.1784139	-0.0814228	 0.0279581	 0.0119642	    no    	     0
     2	-0.1642945	 0.0242023	 0.0236984	 0.0000003	    no    	     0
     3	-0.1648559	 0.0525108	 0.0238610	 0.0008208	    no    	     0
     4	-0.1802459	-0.0054639	 0.0285368	 0.0011560	    no    	     0
     5	-0.1773910	-0.0270379	 0.0276376	 0.0029894	    no    	     0
     6	-0.1598775	 0.0941580	 0.0224386	 0.0051437	    no    	     0
     7	-0.1887781	 0.0123956	 0.0313108	 0.0003578	    no    	     0
     8	-0.1735511	-0.0521050	 0.0264510	 0.0061710	    no    	     0
     9	-0.1777569	 0.0485797	 0.0277520	 0.0004338	    no    	     0
    10	-0.1730289	-0.1400185	 0.0262917	 0.0276591	   yes    	     1
    11	-0.1812459	-0.1170476	 0.0288552	 0.0212876	    no    	     1
    12	-0.1776118	 0.0565142	 0.0277066	 0.0008299	    no    	     1
    13	-0.1824068	-0.0145995	 0.0292271	 0.0019208	    no    	     1
    14	-0.1768448	 0.0427987	 0.0274672	 0.0002351	    no    	     1
    15	-0.1776269	-0.0768027	 0.0277113	 0.0109232	    no    	     1
    16	-0.1756223	 0.1263089	 0.0270878	 0.0098448	    no    	     1
    17	-0.1706003	-0.1690442	 0.0255570	 0.0378696	   yes    	     2
    18	-0.1792406	-0.0938355	 0.0282185	 0.0148972	    no    	     2
    19	-0.1726150	-0.0026946	 0.0261657	 0.0008329	    no    	     2
    20	-0.1761884	-0.0623227	 0.0272631	 0.0080256	    no    	     2
    21	-0.1790852	 0.0585403	 0.0281695	 0.0009224	    no    	     2
    22	-0.1713498	 0.0754734	 0.0257826	 0.0024692	    no    	     2
    23	-0.1772315	 0.0879707	 0.0275878	 0.0036461	    no    	     2
    24	-0.1777318	 0.0433924	 0.0277442	 0.0002449	    no    	     2
    25	-0.1803055	-0.0458702	 0.0285557	 0.0055392	    no    	     2
    26	-0.1754438	 0.0732614	 0.0270326	 0.0021371	    no    	     2
    27	-0.1765247	 0.0134857	 0.0273676	 0.0001927	    no    	     2
    28	-0.1743674	-0.0879366	 0.0267011	 0.0131418	    no    	     2
    29	-0.1831049	 0.0021118	 0.0294519	 0.0007475	    no    	     2
    30	-0.1772802	 0.0936187	 0.0276030	 0.0043581	    no    	     2
    31	-0.1779149	 0.0872942	 0.0278015	 0.0035394	    no    	     2
    32	-0.1893050	 0.1157941	 0.0314863	 0.0071078	    no    	     2
    33	-0.1707271	-0.0303795	 0.0255951	 0.0031332	    no    	     2
    34	-0.1772816	-0.0688982	 0.0276034	 0.0093126	    no    	     2
    35	-0.1765421	-0.0439361	 0.0273730	 0.0050850	    no    	     2
    36	-0.1735137	-0.0694814	 0.0264396	 0.0092008	    no    	     2
    37	-0.1851012	-0.0451937	 0.0300995	 0.0056691	    no    	     2
